time_s,g5_pitch,ahrs_pitch,accel_pitch,raw_accel_pitch,gps_longitudinal_accel_mps2,accel_magnitude_mps2,accel_sample_accepted,accel_sample_age_ms,gps_longitudinal_compensation_valid,error
649.285640,-15.060000,-9.982137,-21.847277,-14.378034,1.433505,9.698768,1,0,0,5.077864
649.491856,-15.130000,-12.066736,-21.847277,-14.378034,0.314186,19.402586,0,67,0,3.063264
649.739488,-15.280000,-12.137265,-17.403036,-15.366847,1.212005,19.227720,0,146,0,3.142735
649.880847,-15.440000,-13.290615,-17.403036,-15.366847,1.465847,9.137414,1,0,0,2.149384
650.081835,-15.510000,-14.720172,-17.403036,-15.366847,0.675050,6.747832,0,36,0,0.789828
650.294615,-15.530000,-14.986029,-15.343016,-7.831192,0.996524,5.351840,0,51,0,0.543971
650.480696,-15.520000,-14.606778,-15.343016,-7.831192,0.639000,15.167542,0,42,0,0.913222
650.734279,-15.520000,-14.703308,-15.343016,-7.831192,0.800765,13.897371,0,141,0,0.816692
650.881544,-15.530000,-14.291029,-15.343016,-7.831192,0.965852,6.275886,0,271,0,1.238971
651.084759,-15.480000,-14.417811,-15.343016,-7.831192,0.465798,10.842664,1,10,0,1.062188
651.280484,-15.390000,-15.523932,-21.649818,-19.763739,-0.042808,11.579985,0,49,0,-0.133931
651.481195,-15.400000,-15.375484,-19.873627,-17.328772,0.401592,8.900685,1,3,1,0.024516
651.681561,-15.500000,-14.163145,-17.880121,-15.246696,0.421808,8.540886,1,12,1,1.336855
651.883652,-15.580000,-13.736547,-22.794422,-21.512447,0.214879,11.198110,1,0,1,1.843452
652.081545,-15.630000,-14.046403,-20.880808,-19.210072,0.285396,10.660902,1,11,1,1.583597
652.281546,-15.500000,-14.586565,-17.639364,-14.896639,-0.211952,9.248422,1,10,1,0.913435
652.482527,-15.250000,-14.173545,-16.869081,-14.745805,0.358748,10.547441,1,0,1,1.076455
652.684651,-15.070000,-13.572308,-20.486856,-18.586769,0.327634,8.970438,1,0,1,1.497692
652.885480,-14.950000,-14.343471,-19.704361,-16.660820,0.511253,14.026341,0,36,0,0.606529
653.079842,-14.890000,-14.497949,-20.763937,-19.294096,0.255532,7.462884,0,38,0,0.392052
