time_s,g5_roll,ahrs_roll,gps_turn_rate_bank_deg,g5_slip_raw,mag_turn_rate_bank_deg,yaw_gyro_turn_rate_bank_deg,fused_turn_rate_bank_deg,accel_roll_deg,roll_correction_target_deg,magnetic_roll_deg,magnetic_roll_innovation_deg,magnetic_roll_disagreement_deg,magnetic_roll_valid,error
125.909323,-0.380000,-1.748863,0.559956,nan,-8.421135,-0.092512,0.559956,-9.075134,0.559956,6.768486,8.517348,3.751109,1,-1.368863
126.082499,-0.310000,-1.173076,0.570617,nan,-3.733459,-0.576671,0.570617,-9.075134,0.570617,8.348398,9.521475,2.509716,1,-0.863076
126.288511,-0.190000,-1.803113,0.421907,nan,12.632310,-1.407322,0.421907,-9.075134,0.421907,10.765466,12.568579,7.055697,1,-1.613113
126.481504,-0.100000,-1.215840,0.322821,nan,-24.163889,-1.779616,0.411522,-4.065892,0.411522,4.224411,5.440251,3.785486,1,-1.115840
126.682474,0.050000,-1.330559,0.415380,nan,-0.833303,-2.384752,-1.044595,-3.649938,-1.044595,8.660899,9.991458,4.661892,1,-1.380559
126.919982,0.140000,-0.509524,0.361313,nan,4.387987,-2.385401,0.410276,-4.272039,0.410276,9.451921,9.961444,0.343317,1,-0.649524
127.081619,0.160000,-0.073085,0.352052,nan,-17.899557,-3.620383,0.719933,0.919704,0.719933,7.484427,7.557513,1.097877,1,-0.233085
127.281382,0.200000,-0.123242,0.258268,nan,-28.479652,-3.367828,0.258268,1.085161,0.258268,5.021904,5.145146,0.467905,1,-0.323242
127.482180,0.070000,0.053180,0.234681,nan,-21.421070,-2.935348,0.320289,-0.066323,0.320289,5.360312,5.307132,2.255198,1,-0.016820
127.689653,-0.060000,0.449042,0.222570,nan,-12.167181,-2.370568,0.222570,1.174495,0.222570,6.496663,6.047620,1.940805,1,0.509042
127.920983,-0.110000,0.264639,0.214715,nan,-27.270350,-1.078127,0.167837,-1.316226,0.167837,3.125332,2.860694,0.191405,1,0.374639
